slno,final_cleaned_reviews
95,The current costs are for most daunting but the activity interest and now emerging capabilities these trips plus the large Space LEO access cost reductions bode well for the future space tourism providing that there are accidents and loss life
96,The projected mean number missions for loss crew space shuttle was factor order two less than what was actually observed
97,However shuttle was designed the and built for half the projected cost due budget cuts
98,know more now and have more experience
99,Therefore space tourism will probably experience least the historical average the order flights between failures
100,The extent which rocket safety can improved and its public acceptance TBD
101,Serious space tourism starting Earth orbit over the next few years
102,The two weeks less space from the available information should not produce many the adverse health effects that characterize longer stays
103,ISS within the planetary magnetic fields that offer some protection from radiation even though its above the protective atmosphere
104,fact the radiation exposure half that which would received deep space
105,
106,during trips the Moon Mars and other destinations
107,Typical ISS duty periods for highly trained ISS astronauts six months
108,year ISS for Astronaut Mark Kelly was difficult
109,deep space exposed full radiation serious radiation protection and probably artificial gravity will needed for such Martian trips and beyond
110,With respect the present status virtualdigital space tourism NASA has number immersivevirtual tours destinations such the ISS and the planets
111,Companies offer virtual tours the Moon Mars the planets and the solar system
112,Google offers tour the ISS space tours are YouTube and the companies are planning offer live virtual tours Earth from space
113,Digital reality will increasingly provide some the space tourism experience some million times less expense and some thousand times safer
114,The Outlook for Space Tourism Due costs rocket production and operations including launch those technologies that provide extreme reductions the costs space access are the fundamental enablers for space tourism ref
115,
116,These costs are mainly due rocket manufacture and operations including those associated with launch
117,The
118,bulk the costs are human labor
119,Space has been extremely courageous and successful reducing these launch costs via reusable rockets cutting manufacture cost per launch and increasing automation printing and robotization for manufacture and operations thereby cutting human labor costs
120,The cost fuel very minor less than and constitutes the limit which LEO access costs can reduced
121,Space has produced factor six reduction space access costs and well along providing factor reduction
122,Such reductions are the basic enabler for affordable space travel
123,Increased use autonomy and robotics for manufacture the other equipment required for space tourism will also provide serious cost reductions with overall resulting trip cost that will increasingly manageable the public
124,Therefore the two major issuesmetrics for physical space tourism stated previously cost and safety requisite cost reductions are the horizon
125,Unfortunately the many aspects and issues surrounding safety are definitely works progress
126,For physical space tourism short jaunts for the usual weeks vacation period
127,
128,nearer destinations such space stations the Moon near Earth objects would relatively safe with regard the major health safety issues
129,
130,micro and radiation
131,However launch safety and overall reliability probably still require significant improvements for public tourism utilization
132,Longer trips Mars and beyond entail much longer trip times and probably artificial gravity and serious radiation protection
133,Some have posited potential psychological issues would occur for such long trips which might alleviated via holographic members the tourist group with characteristics updated periodically
134,Radiation Protection Options Decreasing Order Technology Readiness Level TRL For Moon planet etc
135,under three four meters regolith For space
136,Fast transits
137,
138,day round trips Mars via inexpensive chemical fuel enabled far lower LEO access costs
139,
140,Three four meters reusable polyethylene overcoat the weightcost which enabled inexpensive chemical fuelfar less expensive space access
141,Biologicalmedical countermeasures partial solution space thus far TBD going forward
142,
143,Fast transits
144,
145,day Mars round trip via sec
146,Isp VASIMR high thrust MHD propulsion powered alpha order one nuclear battery
147,Magnetic redirection Galactic Cosmic Ray GCR particles via superconductive magnets located extended distances from the spacecraft
148,Silicon crystal reflection GCR particles plus shielding for Gamma secondaries
149,This approach may applicable space suits and that event exoskeleton may required handle the additional inertial loads
150,Prospective Space Activities Related Space Tourism ref
151,
152,Major LEO constellations small satellites for highspeed internet and Earth observation expanding the number satellites from the order now some plus
153,The associated Earth observation capabilities could enable staring anywhere
154,
155,Utilities for beyond Geosynchronous Equatorial Orbit GEO service both public and private customers including communications energyfuel transportation maintenancerepair life support etc
156,
157,Mining the Moon Mars and asteroids for anything commercially viable needed for colonization such water minerals rare earths volatiles mass etc
158,There are purportedly nearEarth asteroids larger than kilometer diameter and many smaller ones lunar distances from Earth less
159,
160,Entertainment including virtual reality videos virtual presence
161,
162,enable spending evening exploring Mars from your living room
163,Asteroid defense including detection tracking and diversion threats deemed capable causing grievous harm
164,Space solar power for utilization planets moons asteroids space delivered via energy beaming using microwave lasers
165,Space Beach Combing the identification collection destruction repurposing andor remanufacturing space debris
166,special interest boosting ISS due course into parking orbit and scavenging its parts and the piece
167,Space trash dump involves putting trash parking orbits for safe storage including possibly some components nuclear waste depending upon could certified launch indestructible
168,
169,Space manufacturing orbit inspace other bodies enroute
170,This could include initially products that are much improved production micro such
171,pharmaceuticals fiberoptics ball bearings LEDs solar panels organs hearts and protein crystals
172,There are also products that benefit from the near absolute vacuum space and the manufacture fuels and planetbody space human robotic equipage
173,
174,Space hospitals microgravity other space conditions prove efficacious for specific human ills
175,Quantum technologies and quantum computing utilizing the quiet conditions space vacuum low temperature etc
176,delay decoherence and stabilize quantum states
177,Enhanced positional Earth utilities including telecom internet navigation weather imageryEarth observation resource monitoring etc
178,lower cost and with larger apertures and greater resolution
179,Space weather forecasting for prediction potential space condition impacts upon electronics both space and bodies including Earth
180,Communications and navigation other satellite functionalities for the Moon Mars etc
181,replicate improve useful the extant positional Earth utilities that constitute most current commercial space
182,Refueling depotsThe fuel supply such depots could sourced from Earth the Moon Mars asteroids etc
183,anywhere that provides the fuel lowest cost
184,These depots could located Earth orbitEarth environs anywhere suitableconvenientrequired space bodies
185,The fuel could chemical various flavors including nuclear reactor nuclear battery fuel
186,Where propulsive mass and energy have been and can separated such utilization solar beamed energy using the various flavors nuclear energy including positrons propulsive mass for propulsion utilizing external energy addition could supplied
187,The total refueling depot system architecture includes fuel sourcing production transportation storage and disbursement
188,
189,Repairservicingmaintenance functionalitiescould either itinerant fixed probably both could connected with fuel depots some cases and ultimately capable possibly via printing etc
190,repairmaintenance nearly everything
191,Reusability implies possible refurbishment repair maintenance which are not much major operational issues with onetime use approach
192,
193,service humans combination lifeboat hotel search and rescue functionality which could also sited fuel depots utilized for survivability transit and space tourism
194,Energy beamersnuclear solar powered including positrons the cheap antimatter
195,These could located bodies orbit space and provide
196,alternative energypowering source perhaps involving less cost than producing handling fuel per
197,This would still require propulsive mass for utilization beamed energy for propulsion instead the many other uses beamed energy including asteroid defense mass drivers bodyspacecraft power and energy space manufacturing and other industrialcommercial activities
198,Momentum tethers space elevators utilized alternatives for rocket transportation some have envisaged these EarthMoon transport for even longer distances and they are rather major putative reusable infrastructures capital projects
199,Propulsive Ground Assistpropulsive infrastructures for space access including the slingatron blast wave accelerators and mass driversalternatives rockets tethers partial launch assist
200,Space manufacture facilities and space Business Parks located space andor bodies all types bodies depending upon the business conducted resource availability transportation costs and products produced
201,Utilities for space colonization including sourcing transfer storage disbursement food water energy supplies including from InSitu Resource Utilization ISRU activities
202,Space tugs inspace transfer including cyclers move raw materials and products
203,the absence time criticality these could employ sailssolar sails laser sails magnetic sails particulate sails aka sloboats
204,Onbody transportation nuclear powered fueled otherwise for freight and humans
205,Due the typically rough terrain bodies atmosphere near body flying probably the most efficacious transportation approach for other than very localized transportation
206,
207,Onbody infrastructureshabs mines manufacturing plants energy sources life support etc
208,especially for colonization The Potential Closed Business Cases for Commercial Deep Space Include
209,Commercial space utilities beyond GEO including communications energyfueltransportation maintenancerepair life support etc
210,These various forms and flavors will needed for both government and commercial deep space activities and especially for colonization
211,Development has already begun for several these including communication
212,
213,Space miningasteroid water particularly interesting especially the quantity Moon water proves significantly less andor extraction costs prove
214,significantly more than anticipated
215,Given the extant competitive ocean accessed via the increasingly low cost renewable terrestrial energyother Earth resources space mining may more applicable deep space utilizations than for use Earth
216,
217,Space beach combingcleaning space debrisgiven the current situation with respect space debris and the plans loft many more satellites will probably have move from avoidance space debrisdecommissioned satellites removal
218,The legal issues and costs have held that abeyance
219,The costs could addressed via use tethers powered NTAC solar fuel less transportation collect space debris for space manufacture repurposingremanufacturing
220,
221,Space manufacturingwith the space access cost reduction the offing from reusable rockets the major impediments space manufacturing which are cost and schedule are greatly mitigated
222,This capability would also enable inspace manufacture equipage not suitable for launch
223,
224,its too large too fragile even piece parts
225,Also there are many products that are either enabled much improved inspace micro andor deep vacuum conditions
226,
227,Space tourismwhen human healthsafety issues including safety reliability radiation and microgravity are addressed which are major mission design issues the inexpensive space access enabled reusable rockets should greatly accelerate space tourism
228,
229,Quantum computingtechnologies spacethis newbee with viability and realism yet determined
230,However for delaying decoherence maintaining quantum conditions the temperature vacuum and quiet conditions space appear interest initial experiments are progress
231,
232,Space solar powerespecially for other bodies and inspace utilization initially and eventually with the potential for Earth use depending upon the business case visvis the ever reducing cost terrestrial renewablesstorage with their massive potential capacity
233,Earth positional utilitiesthis the current very successful commercial space
234,Inexpensive space access will make even more and several additional areasfunctionalities will enabled
235,
236,Colonization bodies such Mars with all its resources would create wholly new economy that could essentially selfcontained
237,Mars could with its resources become the department and building supply store for the solar system human colonization moves beyond Mars
238,Concluding Remarks The bottom line space tourism that after some years highly trained astronauts going into space space related technologies and their costs have altered the point where increasing numbers private citizens can become space tourists
239,Initially space travel would suborbital for minimal times and Earth orbital for two weeks with nearer term plans Space lunar flybys
240,There has also developed now rapidly improving digital realityimmersive virtual presence technology providing space tourism experiences minimal cost and available essentially everyone
241,The safety aspects physical space tourism need further development but those that relate the space environment are tolerable for few weeks from the years manned space flight experience
242,space tourism expands beyond Earth orbit the Moon Mars asteroids and other planets the safety issues will need seriously worked and that doable
243,The apparent breakthrough the resurgence space tourism was the NASA commercial crew program which was partially targeted space tourism and has led the transportation necessary enable the nearer term very few years out now plans for goodly expansion physical space tourism
244,This only portion what will become major opportunities and expansion commercial space beyond Earth utilitiesup GEO into deep space initially the Moon Mars asteroids and near Earth objects
245,All this greatly enhanced the ongoing major reductions the costs space access
246,Given the wonderous ongoing progress AIenhanced autonomous robotics for goodly cost and safety reasons much most this commercial deep space will probably not include onsite humans
247,There are projections that travelers that colonize Mars will over time due the reduced and radiation exposure evolve into Martians
248,References
249,Bushnell Dennis
250,The Coming Digital Reality Aerospace America AIAA June ppgs
251,
252,Bushnell Dennis
253,and Moses Robert
254,Reliability Safety and Performance for Two Aerospace Revolutions UASODM And Commercial Deep Space NASATM
255,
256,Moses Robert
257,Maintaining Human Health for Humans Mars AIAA
258, Space Tourism httpsen
259,
260,orgwikiSpacetourismtextSpacetourismis humanspacebytheRussianSpaceAgency
261,
262,Space
263,Com Space Tourism httpswww
264,space
265,comtopicsspacetourism
266,Bushnell Dennis
267,and Moses Robert
268,Commercial Space The Age New Space Reusable Rockets and The Ongoing Tech Revolutions NASATM
269,Bushnell Dennis
270,and Moses Robert
271,Prospectives Deep Space Infrastructures Development and Colonization NASATM
