slno,review
20,"NASA’s Human Research Program, or HRP, pursues the best methods and technologies to support safe, productive human space travel. Through science conducted in laboratories, ground-based analogs, and the International Space Station, HRP scrutinizes how spaceflight affects human bodies and behaviors. Such research drives HRP’s quest to innovate ways that keep astronauts healthy and mission-ready as space travel expands to the Moon, Mars, and beyond."
21,For a 508 Compliant PDF of the Infographic follow this link.
22,"The space station is pictured from the SpaceX Dragon Endeavour during its departure and flyaround on Nov. 8, 2021."
23,"The Expedition 71 crew members are relaxing today following the delay of Thursday’s spacewalk. Mission planners rescheduled the spacewalk for June 24 when two spacewalkers will remove faulty radio hardware and swab station surfaces for microorganisms. A second spacewalk to remove and replace a gyroscope assembly, relocate an antenna, and prepare for future Alpha Magnetic Spectrometer upgrades is planned for July 2. Meanwhile, the two Boeing Crew Flight Test astronauts from NASA continued vehicle testing."
24,"NASA and Boeing will discuss Starliner’s mission and departure from the International Space Station as part of the agency’s Boeing Crew Flight Test in a pre-departure media teleconference at 12 p.m. EDT Tuesday, June 18. Butch Wilmore and Suni Williams, who have previously visited the orbital outpost, called down to Boeing mission controllers on Friday and discussed their upcoming departure. Afterward, the duo entered Starliner and reviewed the spacecraft’s flight operations and procedures."
25,"Roscosmos’ Progress 87 resupply ship, docked to the Zvezda service module, will fire its engines late Friday night boosting the space station’s orbit. The reboost maneuvers occur regularly restoring the orbiting lab’s altitude as it degrades over time due to Earth’s gravity and atmospheric drag."
26,"The three cosmonauts working aboard the space station stayed busy on Friday with their standard complement of space research and life support maintenance duties. Commander Oleg Kononenko and Flight Engineer Nikolai Chub wrapped their work shift with eye scans using a medical imaging device looking at the retina, optic nerve, and cornea. Flight Engineer Alexander worked throughout the day on computer maintenance, vent cleaning, and orbital plumbing."
27,"Learn more about station activities by following the space station blog, @space_station and @ISS_Research on X, as well as the ISS Facebook and ISS Instagram accounts."
28,Get weekly video highlights at: https://roundupreads.jsc.nasa.gov/videoupdate/
29,Get the latest from NASA delivered every week. Subscribe here: www.nasa.gov/subscribe
